,F1-score,Precision-score,Recall-score
HEBREW,0.9993238585328119,0.999489625847708,0.9991590112279767
ARABIC,0.9957875040543167,0.99733035483205,0.9942576556028548
PORTUGUESE,0.9984435974447128,0.9983371995014407,0.9985509263553504
ITALIAN,0.996540816758227,0.99732794063306,0.9957600479385784
FRENCH,0.9960742832295879,0.9967925591049286,0.995359805430212
SPANISH,0.9993049993273562,0.9991230014614753,0.9994874591458983
GERMAN,0.9870375793716548,0.9911755545521608,0.9829670444454515
ENGLISH,0.9823781532581483,0.9859367179650407,0.9788849847685622
RUSSIAN,0.9959193747637486,0.9967559466466427,0.9950969152179353
FINNISH,0.9963953177023688,0.9961090706108608,0.9966899949080354
VIETNAMESE,0.7932096983799717,0.7606630132049247,0.8288736030156362
KOREAN,0.9989845639410732,0.9991000361596634,0.9988714068143639
CHINESE,0.7973004083641234,0.799545520477995,0.7951634172670143
JAPANESE,0.8923062286201306,0.8940943636192116,0.8905684286537751
