,F1-score,Precision-score,Recall-score
HEBREW,0.9994931145804213,0.99975919397407,0.9992571822117277
ARABIC,0.9902167280548589,0.9982713711238537,0.9839906635011086
PORTUGUESE,0.9778830607681759,0.9899643484875339,0.9697757227091902
ITALIAN,0.9959898832726461,0.9974812239717591,0.9947708279270656
FRENCH,0.9935483595129374,0.9957602803639024,0.9917657409445538
SPANISH,0.998765958406333,0.9987178976290892,0.9988618416526798
GERMAN,0.98881858250183,0.9924323114802617,0.9859951683150181
ENGLISH,0.9077448043165992,0.9341241961760125,0.891787808555407
RUSSIAN,0.9963945233479968,0.99679593466619,0.9962295518210619
FINNISH,0.9773308322208061,0.9910584948242668,0.9696390143529692
VIETNAMESE,0.7673544256620712,0.7347678211154399,0.8069524989657334
KOREAN,0.9987751985328707,0.9994276284329942,0.9983111882337475
CHINESE,0.8091382917741181,0.810511035674118,0.8098443065361357
JAPANESE,0.9016578386427421,0.9040244179444111,0.9013878484810384
