,F1-score,Precision-score,Recall-score
HEBREW,0.9998244900177745,0.9999470226742955,0.9997301825814222
ARABIC,0.9909241355644156,0.9977050710773927,0.985551367052485
PORTUGUESE,0.977620070415416,0.9903629458776517,0.9689984615687154
ITALIAN,0.9932911118145794,0.9971834271532776,0.9902071503647424
FRENCH,0.9932840529865268,0.9958560800215903,0.9911973013264881
SPANISH,0.9987304778949342,0.999042926920253,0.9985047533560102
GERMAN,0.9843475515129354,0.9919734436076756,0.9783625841184429
ENGLISH,0.8986681796740954,0.9307917866191214,0.8784737866655792
RUSSIAN,0.9959763891536175,0.996697469288718,0.9955799143595181
FINNISH,0.9767290080289778,0.9915200006289502,0.9684414949667699
VIETNAMESE,0.7622339794126585,0.7378388941717813,0.7930380595647043
KOREAN,0.9986656870051327,0.9991446552551491,0.9983604610971064
CHINESE,0.8062789862358501,0.8117334420925312,0.8031809167009931
JAPANESE,0.887034432764565,0.8994519353738314,0.8774708922906438
