,F1-score,Precision-score,Recall-score
HEBREW,0.9981744035595711,0.9980178585289503,0.9983830411607514
ARABIC,0.989008039053629,0.9969581927881557,0.9828164082824989
PORTUGUESE,0.9769918075696366,0.9902466978783392,0.9681310807248307
ITALIAN,0.9955058917593864,0.9973686831050231,0.9940946098598312
FRENCH,0.9927769109633117,0.9949946487086653,0.9910303646404699
SPANISH,0.9988137270425946,0.9988524917992135,0.9988446912961414
GERMAN,0.9866399578469747,0.9923517461747603,0.9822971476819939
ENGLISH,0.901112151755319,0.9308638937694235,0.8833363214294765
RUSSIAN,0.9961407580024549,0.9968059766038718,0.995722258152602
FINNISH,0.9777040935424836,0.9921041543691734,0.9695313163281272
VIETNAMESE,0.7705411572562116,0.742999161881864,0.8046919330679136
KOREAN,0.9992127506051526,0.9995306160286163,0.9990743300937839
CHINESE,0.8119473142837855,0.8149772407150997,0.811114471913982
JAPANESE,0.8883237077961971,0.9027108899348862,0.8767635060140703
