,F1-score,Precision-score,Recall-score
HEBREW,0.9999749276895402,0.9997739602169982,1.0001765536723164
ARABIC,0.9970284956980767,0.9979114251679132,0.9961531530583452
PORTUGUESE,0.9990575574236696,0.9989664741239994,0.9991494428969077
ITALIAN,0.9970905912870612,0.997863323931083,0.9963251721120502
FRENCH,0.996501151509698,0.996842303572022,0.9961634241649318
SPANISH,0.9994524966980791,0.9993395854170708,0.9995656474681383
GERMAN,0.990206081177825,0.9930807813259173,0.9873673100770668
ENGLISH,0.9865600381857701,0.9876880945015573,0.9854708844114178
RUSSIAN,0.9967690322102313,0.9971399121103824,0.9964068666003657
FINNISH,0.9968445717285089,0.9965148355639714,0.9971815488469239
VIETNAMESE,0.8109667582505498,0.7835362385593563,0.840528820420352
KOREAN,0.999437860009711,0.9993973519940406,0.9994789931356984
CHINESE,0.843878212890125,0.8457939820093575,0.842090415923104
JAPANESE,0.9170283957658486,0.9188017913292437,0.915305938342913
