,F1-score,Precision-score,Recall-score
HEBREW,0.9989010978320877,0.9999234771962044,0.9980144121259824
ARABIC,0.9888666026971756,0.9988396298448545,0.981013770387732
PORTUGUESE,0.9774775180765645,0.9904128054710869,0.9688423758389689
ITALIAN,0.9961630716041384,0.9971332460227124,0.9954479437677353
FRENCH,0.9957260481621883,0.9962123066809568,0.9953944191353833
SPANISH,0.9988974876841342,0.9989234683727953,0.9989129145998432
GERMAN,0.9890282417007711,0.9923124052821297,0.9865403706545568
ENGLISH,0.9079007464205128,0.9316582657817678,0.8936406940380698
RUSSIAN,0.9958663880302557,0.9967731132992331,0.9952151995396943
FINNISH,0.9757970659881132,0.988719181527518,0.9688727079967834
VIETNAMESE,0.7630659676480446,0.7496821746695741,0.7815842130464264
KOREAN,0.9623688659536109,0.9983481293219907,0.9309216285455343
CHINESE,0.7779337392522226,0.785265878793451,0.7740525302420579
JAPANESE,0.8938748045725015,0.8974164766155784,0.8923902514185553
