,F1-score,Precision-score,Recall-score
HEBREW,0.9996877212715427,0.9997916366904034,0.999583982726151
ARABIC,0.9979871647850173,0.9985876720420078,0.997389680808428
PORTUGUESE,0.9985015859731745,0.998071078294199,0.9989342735428318
ITALIAN,0.9971325603175912,0.9976704839426266,0.9965998403987884
FRENCH,0.9960881137355933,0.9961701132192201,0.9960106171540958
SPANISH,0.9994207742742142,0.9992428679743117,0.9995991860001326
GERMAN,0.9910772254290241,0.9937635426374967,0.9884191336986718
ENGLISH,0.9873632395524903,0.9886853640606245,0.9860733249000851
RUSSIAN,0.9969984273396094,0.997266367462413,0.9967384396175628
FINNISH,0.9969217976455446,0.9962635158616574,0.9975881407945286
VIETNAMESE,0.8124425266571511,0.7779237030897828,0.8503225117730459
KOREAN,0.9995367002704719,0.9995415813450121,0.9995323066871374
CHINESE,0.8365350602919606,0.8390289713796955,0.8341040189345793
JAPANESE,0.9242813582660377,0.9260332471870425,0.9225687410550445
