,F1-score,Precision-score,Recall-score
HEBREW,0.9985842423845691,0.9984178652013993,0.9988528287598536
ARABIC,0.9883387871043294,0.9978220585826986,0.9810154657005928
PORTUGUESE,0.9770473328357081,0.9893390422436215,0.9688879015118991
ITALIAN,0.993523095228918,0.996750955248038,0.9909041790561253
FRENCH,0.9930003484190478,0.9948508279806929,0.9915869135317823
SPANISH,0.998219737677858,0.9984893526738823,0.9980680942139626
GERMAN,0.9841839545988152,0.9892299825258639,0.9805616643781266
ENGLISH,0.8936076242565344,0.9249611863987034,0.8749976548076369
RUSSIAN,0.9954093515964727,0.996631943293249,0.9946468011957939
FINNISH,0.9756039762807276,0.9914570958522088,0.9663088238131949
VIETNAMESE,0.7738280024967951,0.7395644274928352,0.8158106863379921
KOREAN,0.9982414483097176,0.9994071279102741,0.9974406134498138
CHINESE,0.7960602981487914,0.7900624410616361,0.8046456259534057
JAPANESE,0.8814211018610408,0.8856644331378118,0.8798839469804848
