,F1-score,Precision-score,Recall-score
HEBREW,0.9999437443744374,0.9998875899280575,1.0
ARABIC,0.9949477453877179,0.9968208857101563,0.9930956453134678
PORTUGUESE,0.9988253269087866,0.9985006333931855,0.9991527318632722
ITALIAN,0.9962008995873654,0.9973168283207995,0.9950920670439307
FRENCH,0.9953730018066247,0.9958073190312557,0.9949427433863157
SPANISH,0.9991361924950546,0.9991175511412962,0.9991553739517044
GERMAN,0.9830209139269488,0.9866418253818405,0.9794589235221168
ENGLISH,0.9805435865751913,0.9828539688085459,0.9783407923236089
RUSSIAN,0.9958509135951897,0.9965508137079261,0.9951638893337525
FINNISH,0.9956381793271758,0.9950888092129463,0.9962005876137334
VIETNAMESE,0.7828697147230499,0.7546986062698882,0.8134428666759886
KOREAN,0.9985216146525219,0.998626915306794,0.9984181926233117
CHINESE,0.7619355376746328,0.7624520212305099,0.7615579935122296
JAPANESE,0.877593682246328,0.877245912324615,0.8779988969056243
