,F1-score,Precision-score,Recall-score
HEBREW,0.996026268249728,0.9971474420473674,0.9952848785095222
ARABIC,0.9893332907002921,0.9966094767512014,0.9835544736672037
PORTUGUESE,0.9767995034182042,0.9905230754748325,0.9672744629779024
ITALIAN,0.9890083163741598,0.9969518835914636,0.9823264325860608
FRENCH,0.9920791699754342,0.9951320316097452,0.9895403774808018
SPANISH,0.9975727329031809,0.9979688799935386,0.9973073818513302
GERMAN,0.9807753378080672,0.9902380143144005,0.9733099259168284
ENGLISH,0.8897991393840954,0.9280386060433505,0.8652956686883213
RUSSIAN,0.9942047994245196,0.9959440110120165,0.9929735984048735
FINNISH,0.9743367955345601,0.9898905481749318,0.9656019637772113
VIETNAMESE,0.7394922462589699,0.7122416061539728,0.7740373453930494
KOREAN,0.9972791677340836,0.9979339970388391,0.9968821732537606
CHINESE,0.7645943954474295,0.7685788976428206,0.7632139628691036
JAPANESE,0.874896036898727,0.8803426544888917,0.8718179066496149
