,F1-score,Precision-score,Recall-score
HEBREW,0.9999558927311221,0.9999118476727786,1.0
ARABIC,0.9974871278470405,0.9982713978794137,0.9967058599900764
PORTUGUESE,0.9985481625736937,0.9982213028641913,0.9988758909011689
ITALIAN,0.9977909427373509,0.9982936653606238,0.9972922276114878
FRENCH,0.9968283865361184,0.9969055006026948,0.996753958772832
SPANISH,0.9994186356513789,0.9991601067987019,0.9996778652045811
GERMAN,0.9898889699090572,0.9931121669419702,0.9867074886680939
ENGLISH,0.9858354573667923,0.9877307205344258,0.9840198885305308
RUSSIAN,0.9966885753544092,0.9971525886483151,0.9962340726335291
FINNISH,0.9957599208521177,0.9947882038644769,0.9967432182190044
VIETNAMESE,0.81522493802156,0.7863473802972148,0.8464069226462982
KOREAN,0.9990902292112681,0.999050153283061,0.9991311339033224
CHINESE,0.8050173050588311,0.8094505315246323,0.8007102668105572
JAPANESE,0.912172196447462,0.9144840885303771,0.9099143178799488
