,F1-score,Precision-score,Recall-score
HEBREW,1.0,1.0,1.0
ARABIC,0.9980352758219788,0.9986498737538493,0.9974230797906798
PORTUGUESE,0.9988388955064507,0.9987027143683022,0.998975787190603
ITALIAN,0.9974022875132713,0.997876996022901,0.9969322205938204
FRENCH,0.99692622419084,0.9969373523203561,0.9969177042893862
SPANISH,0.9993217850218149,0.9991114329850184,0.9995325437938933
GERMAN,0.9902593990900068,0.9935775033999985,0.9869859320479732
ENGLISH,0.9850862102478657,0.9869478241788736,0.9832917269327157
RUSSIAN,0.997211976292769,0.9975134045095313,0.9969181904666679
FINNISH,0.9966903737670574,0.9960446341326057,0.9973425967503167
VIETNAMESE,0.8098484548278531,0.7764011160728568,0.8464249522242766
KOREAN,0.9994395565835523,0.9994291664500174,0.9994504555723537
CHINESE,0.83063815680921,0.8321044204178125,0.829225147890704
JAPANESE,0.9249835290617708,0.9268140983833376,0.9232007809585826
