,F1-score,Precision-score,Recall-score
HEBREW,1.0000683028030646,0.9999118476727786,1.0002252252252253
ARABIC,0.9967110337588797,0.9978523712383968,0.9955818484812974
PORTUGUESE,0.9985115280423348,0.9979589579858672,0.9990667301488677
ITALIAN,0.9965163034606745,0.997328519508298,0.99570996629749
FRENCH,0.9961172063172996,0.9961294237797075,0.9961085858381057
SPANISH,0.9993648988590867,0.9991684244600351,0.9995618473899348
GERMAN,0.9899296606791615,0.9931346396878712,0.9867688566891651
ENGLISH,0.9853498822336396,0.985513647645143,0.9852634350775001
RUSSIAN,0.9965280809911848,0.9969824132223887,0.9960846812526891
FINNISH,0.9962262092207166,0.9958133871793715,0.9966463973809547
VIETNAMESE,0.8182411329290302,0.7892208769248816,0.8496308430245891
KOREAN,0.9996930809056238,0.999638823404904,0.9997477553350597
CHINESE,0.8295952666173003,0.8313985175157227,0.8278562444818739
JAPANESE,0.9108836902264114,0.9116033819790378,0.9102065283029055
