,F1-score,Precision-score,Recall-score
HEBREW,0.9869668275301905,0.9927523941247239,0.982054650425391
ARABIC,0.9735275340613322,0.9885574922006624,0.961054564382221
PORTUGUESE,0.9758132585954276,0.990643017696589,0.965313943509041
ITALIAN,0.9933717809778358,0.9964235907117802,0.9907940181937677
FRENCH,0.9891946772804405,0.9934649925119108,0.9856900006519956
SPANISH,0.9968203853407386,0.9979233446039767,0.9958723347360349
GERMAN,0.9792807264159641,0.9841261911804862,0.9758889196320445
ENGLISH,0.8927229344602932,0.9209622032341176,0.8753643970448538
RUSSIAN,0.9922840738006786,0.994980140361118,0.9901178974178667
FINNISH,0.9717547097804297,0.9848464199601071,0.9650081193133934
VIETNAMESE,0.724835443215661,0.6928995412624357,0.7661015815245181
KOREAN,0.9922530715659504,0.9917986737156175,0.9929336403453851
CHINESE,0.5890097017305455,0.6098515175054477,0.5743302223832844
JAPANESE,0.744456636425345,0.7531489169980536,0.7409543667554995
