EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_Recall
1	20:26:00	0	0.1000	0.09770941486923823	63.396236419677734		0.10331087472066423
2	20:35:14	0	0.1000	0.037095661913886774	45.85300827026367		0.10391857300864413
3	20:44:28	1	0.1000	0.029537089659720957	39.72528076171875		0.10368672004622348
4	20:53:41	0	0.1000	0.025558961167290454	36.080360412597656		0.1044103998689607
5	21:02:55	1	0.1000	0.02287488688071515	33.03520965576172		0.10437802843721522
6	21:12:09	2	0.1000	0.02090653783079759	30.831279754638672		0.10430161177105453
7	21:21:23	3	0.1000	0.019289872901239482	29.19478988647461		0.10432803475800927
8	21:30:36	4	0.1000	0.017998104999558937	27.535045623779297		0.10434369828949669
9	21:39:50	0	0.0500	0.017012887563268398	26.763277053833008		0.10441067782282323
10	21:49:03	0	0.0500	0.016489260517886118	26.124387741088867		0.10447146502789435
11	21:58:16	0	0.0500	0.015982514922090543	25.561424255371094		0.10460142206319567
12	22:07:30	1	0.0500	0.015543862073922075	25.00874137878418		0.10457710626880036
13	22:16:43	0	0.0500	0.015142113932644013	24.5183048248291		0.10466897781578928
14	22:25:56	0	0.0500	0.014739590258163167	24.09520149230957		0.10475985886307305
15	22:35:09	1	0.0500	0.014414199810576704	23.741065979003906		0.10458680173429968
16	22:44:22	2	0.0500	0.014121437490993694	23.335874557495117		0.10473238796311725
17	22:53:35	3	0.0500	0.013779417436226729	22.953920364379883		0.10463571149851339
18	23:02:49	0	0.0500	0.013511509819551012	22.572980880737305		0.10483468029524462
19	23:12:03	0	0.0500	0.013252468832658454	22.290283203125		0.10485146650348277
20	23:21:18	1	0.0500	0.012975913704232523	22.07673454284668		0.1048279922491827
21	23:30:32	0	0.0500	0.012769065148683078	21.796016693115234		0.1049203757700424
22	23:39:46	1	0.0500	0.01255190461588359	21.59409523010254		0.10466588369897131
23	23:48:59	2	0.0500	0.012347445513094444	21.27808380126953		0.10481457917866503
24	23:58:13	3	0.0500	0.012141775065971612	21.177011489868164		0.10483330421071782
25	00:07:27	0	0.0500	0.01195440465359817	20.883556365966797		0.104954892200071
26	00:16:40	1	0.0500	0.011745685352505232	20.672218322753906		0.104938378694097
27	00:25:54	0	0.0500	0.011582498848779198	20.458362579345703		0.10500161088065921
28	00:35:08	1	0.0500	0.01141595507984419	20.267988204956055		0.10479766217713672
29	00:44:22	2	0.0500	0.011254957653621327	20.108427047729492		0.10491660914701618
30	00:53:35	3	0.0500	0.011079017026282665	19.868749618530273		0.10492248936745019
