EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_Recall
1	02:07:08	0	0.1000	0.08995525787176979	58.98794937133789		0.10368451701312671
2	02:17:53	0	0.1000	0.037069721754872643	46.56855392456055		0.10433862784719972
3	02:29:21	1	0.1000	0.02987035156763276	40.115013122558594		0.10421465859096204
4	02:41:38	2	0.1000	0.02576459895528478	35.915348052978516		0.10432580588890702
5	02:53:23	3	0.1000	0.022874972453155337	32.8282356262207		0.1041342720073435
6	03:05:16	4	0.1000	0.02072825077794161	30.722742080688477		0.10425803200000167
7	03:15:45	0	0.0500	0.019411193229716198	29.511234283447266		0.10446882109333634
8	03:26:47	0	0.0500	0.01864680372309509	28.476566314697266		0.10461508834360164
9	03:38:37	1	0.0500	0.017933142674495254	27.747291564941406		0.10456388241822698
10	03:48:58	0	0.0500	0.01730237855729541	26.903268814086914		0.10464259186552106
